"id","extralabel","name","latitude","longitude","Netherlands"
"NLVL","Station","Venlo","51.3641","6.1722","Netherlands"
"NLVNDC","SmallStation","Veenendaal Centrum","52.0201","5.5488","Netherlands"
"NLVRY","Station","Venraij","51.5265","6.0146","Netherlands"
"NLVS","Station","Vlissingen","51.4467","3.5952","Netherlands"
"NLVSV","SmallStation","Varseveld","51.9373","6.4588","Netherlands"
"NLVTN","PassengerStop","Vleuten","52.1027","5.0107","Netherlands"
"NLWAD","SmallStation","Waddinxveen","52.0441","4.6499","Netherlands"
"NLWC","Station","Wijchen","51.8114","5.73","Netherlands"
"NLWD","Station","Woerden","52.0848","4.8928","Netherlands"
"NLWDN","Station","Wierden","52.3615","6.592","Netherlands"
"NLWF","Station","Wolfheze","52.0051","5.7951","Netherlands"
"NLWFM","SmallStation","Warffum","53.39","6.5666","Netherlands"
"NLWGM","ShuntingYard","Watergraafsmeer","52.3525","4.9494","Netherlands"
"NLWGMRBA","Junction","Watergraafsmeer ringbaan aansl.","52.3482","4.969","Netherlands"
"NLWHA","Junction","Waterhuizen aansl.","53.1854","6.6428","Netherlands"
"NLWHZ","Junction","Waalhaven Zuid","51.8706","4.4422","Netherlands"
"NLWHZAN","Junction","Waalhaven aansluiting Noord","51.8646","4.4908","Netherlands"
"NLWK","SmallStation","Workum","52.9721","5.4566","Netherlands"
"NLWL","SmallStation","Wehl","51.9572","6.2138","Netherlands"
"NLWM","Station","Wormerveer","52.4891","4.7932","Netherlands"
"NLWP","Station","Weesp","52.3116","5.0451","Netherlands"
"NLWS","SmallStation","Winschoten","53.1391","7.0358","Netherlands"
"NLWSM","SmallStation","Winsum","53.3304","6.5202","Netherlands"
"NLWSPL","Junction","Rotterdam Westelijke Splitsing","51.9286","4.449","Netherlands"
"NLWSPT","Station","Willemstunnel","51.9156","4.4951","Netherlands"
"NLWT","Station","Weert","51.2488","5.7026","Netherlands"
"NLWV","SmallStation","Wolvega","52.8808","6.004","Netherlands"
"NLWW","Station","Winterswijk","51.9678","6.7152","Netherlands"
"NLYPB","SmallStation","Ypenburg (Den Haag)","52.0536","4.3992","Netherlands"
"NLZB","Station","Zuidbroek","53.1594","6.8678","Netherlands"
"NLZD","Station","Zaandam","52.4387","4.8137","Netherlands"
"NLZDK","SmallStation","Zaandam Kogerveld","52.4567","4.8208","Netherlands"
"NLZH","SmallStation","Zuidhorn","53.2483","6.4063","Netherlands"
"NLZL","Station","Zwolle","52.5047","6.0921","Netherlands"
"NLZP","Station","Zutphen","52.1448","6.1941","Netherlands"
"NLZTMO","Station","Zoetermeer Oost","52.0464","4.4929","Netherlands"
"NLZTWW","Switch","Zoeterwoude West","52.1437","4.5018","Netherlands"
"NLZVB","SmallStation","Zevenbergen","51.6407","4.6095","Netherlands"
"NLZVT","SmallStation","Zandvoort aan Zee","52.3757","4.5315","Netherlands"
